unit_id,analytics_channels_in_template,analytics_template_rect_area,analytics_template_density,analytics_axon_length,analytics_num_branches,analytics_branch_lengths,analytics_branch_channel_density,analytics_branch_orders,analytics_maximum_branch_order,analytics_velocities
616,3930,7871850.0,0.000499247317974809,676.3483029825317,4,"[676.3483029825317, 783.6250255844479, 530.2610098837938, 454.9934750686934]","[112.72471716375527, 97.95312819805599, 75.75157284054197, 56.87418438358667]","{0: 2, 1: 1, 2: 1, 3: 1}",2,"{0: 78.18746708174622, 1: 112.51805464691482, 2: 108.8035699023832, 3: 118.72886109217148}"
546,13825,7871850.0,0.0017562580587790672,596.8024361486064,2,"[596.8024361486064, 432.69262665476464]","[99.4670726914344, 86.53852533095292]","{0: 1, 1: 1}",1,"{0: 664.0664869753479, 1: 403.61767757021636}"
116,5761,7871850.0,0.000731848294873505,374.5982663146532,1,[374.5982663146532],[62.43304438577553],{0: 1},1,{0: 87.24680630989165}
561,12357,7871850.0,0.0015697707654490367,309.20532087393553,2,"[309.20532087393553, 361.6760945568279]","[61.84106417478711, 72.33521891136557]","{0: 2, 1: 1}",2,"{0: 24.467353694116987, 1: 156.798688331128}"
619,13825,7871850.0,0.0017562580587790672,297.65342271428995,4,"[297.65342271428995, 537.347080413186, 287.25477797196015, 401.6397808433265]","[29.765342271428995, 67.16838505164824, 57.45095559439203, 40.16397808433265]","{0: 1, 1: 2, 2: 1, 3: 1}",2,"{0: 494.35706689310365, 1: 82.63805269810682, 2: 31.653691003214114, 3: 561.8254001603475}"
594,13825,7871850.0,0.0017562580587790672,289.47128176965094,1,[289.47128176965094],[36.18391022120637],{0: 1},1,{0: 828.1848798350676}
429,9067,7871850.0,0.001151825809688955,384.02929775830427,7,"[384.02929775830427, 654.129425318811, 341.3609038739858, 279.57448325258184, 380.50940127822, 327.9652178014856, 782.3526131568775]","[76.80585955166086, 81.76617816485137, 48.7658434105694, 46.59574720876364, 76.101880255644, 54.66086963358094, 78.23526131568775]","{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1}",2,"{0: 586.8461942404947, 1: 133.0997629790228, 2: 57.67575750201517, 3: 443.17068649023474, 4: 74.58342307001219, 5: 39.380653632319365, 6: 101.82333822003959}"
621,13825,7871850.0,0.0017562580587790672,363.7530953518514,4,"[363.7530953518514, 356.7464451350455, 366.2355968213645, 342.23692816394623]","[72.75061907037028, 35.67464451350455, 73.24711936427289, 68.44738563278925]","{0: 3, 1: 1, 2: 1, 3: 1}",3,"{0: 27.50859039449425, 1: 57.83540547039204, 2: 56.40193405656952, 3: 71.2532383048437}"
614,13825,7871850.0,0.0017562580587790672,217.83406655420234,1,[217.83406655420234],[43.566813310840466],{0: 1},1,{0: -49.10794688256037}
356,6496,7871850.0,0.0008252189764794807,589.9483578338402,3,"[589.9483578338402, 309.46525616044863, 1295.3849891969546]","[98.32472630564003, 51.577542693408105, 99.6449991689965]","{0: 1, 1: 1, 2: 2}",2,"{0: 52.921217651430645, 1: 77.79847222919034, 2: 195.6562178425881}"
530,13825,7871850.0,0.0017562580587790672,113.26237921249265,5,"[113.26237921249265, 197.75985389555098, 200.6833384443795, 346.34191309895783, 327.62361365542125]","[22.65247584249853, 28.251407699364425, 40.1366676888759, 57.723652183159636, 65.52472273108425]","{0: 1, 1: 1, 2: 1, 3: 1, 4: 2}",2,"{0: 319.20793070830877, 1: 414.70132748136535, 2: 147.67442186068274, 3: 191.7827930098075, 4: 587.6195783077932}"
319,13825,7871850.0,0.0017562580587790672,783.4584986194831,2,"[783.4584986194831, 426.28170102058823]","[65.28820821829025, 85.25634020411765]","{0: 3, 1: 1}",3,"{0: 146.1386612142566, 1: 53.45694290637845}"
624,13825,7871850.0,0.0017562580587790672,651.7164777388934,3,"[651.7164777388934, 145.67971810589327, 492.74161464436247]","[81.46455971736168, 29.135943621178654, 70.39165923490893]","{0: 1, 1: 1, 2: 1}",1,"{0: 64.03711397320818, 1: 273.85943621178654, 2: 54.31026397345055}"
172,7228,7871850.0,0.0009182085532625749,405.8012706659597,1,[405.8012706659597],[67.63354511099328],{0: 1},1,{0: 94.81142447773902}
210,10529,7871850.0,0.0013375508933732223,380.75658671374833,2,"[380.75658671374833, 259.98261967630344]","[54.393798101964045, 43.33043661271724]","{0: 1, 1: 1}",1,"{0: 47.96933617924519, 1: 21.721719508487507}"
608,13825,7871850.0,0.0017562580587790672,426.3885181848557,6,"[426.3885181848557, 373.2832458480718, 113.26237921249265, 273.0197077911019, 291.3322831021216, 142.1423061602681]","[53.29856477310696, 46.66040573100897, 22.65247584249853, 34.12746347388774, 58.26645662042432, 28.42846123205362]","{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",2,"{0: 505.06571530958655, 1: 48.103888060476244, 2: 93.42671142682208, 3: 668.624423062905, 4: 332.30249470757707, 5: 56.10662528719769}"
538,7608,7871850.0,0.0009664818308275691,485.0653621029207,1,[485.0653621029207],[80.84422701715344],{0: 1},1,{0: 89.86464458775457}
265,13825,7871850.0,0.0017562580587790672,684.5511099391182,1,[684.5511099391182],[57.04592582825985],{0: 1},1,{0: 120.19399856681345}
610,13825,7871850.0,0.0017562580587790672,162.09209668673645,2,"[162.09209668673645, 516.7886252963982]","[32.41841933734729, 64.59857816204978]","{0: 1, 1: 1}",1,"{0: 870.2901535095103, 1: 66.89014189599732}"
92,8703,7871850.0,0.001105585091179329,472.064401126882,1,[472.064401126882],[94.4128802253764],{0: 1},1,{0: 379.9080085924899}
585,5396,7871850.0,0.0006854805414229184,474.87828098710327,3,"[474.87828098710327, 878.5228784736945, 167.3109077121396]","[79.14638016451721, 109.81535980921181, 33.46218154242792]","{0: 1, 1: 2, 2: 1}",2,"{0: 76.33869586998281, 1: 112.57417752696526, 2: 33.62179698334928}"
121,1001,7762518.75,0.00012895298964656285,442.10925256913663,1,[442.10925256913663],[88.42185051382732],{0: 0},0,{0: 130.3843576120085}
596,13825,7871850.0,0.0017562580587790672,260.46347270836793,4,"[260.46347270836793, 269.9021600558191, 363.7794310543909, 186.84083402826565]","[52.09269454167359, 38.557451436545584, 36.37794310543909, 26.691547718323665]","{0: 1, 1: 1, 2: 1, 3: 1}",1,"{0: 16.963713804054454, 1: 204.20848018447353, 2: 556.6773776178712, 3: 358.28702437880173}"
209,7215,7871850.0,0.0009165570990300882,332.8834675509722,2,"[332.8834675509722, 229.89950410661538]","[47.55478107871032, 45.97990082132308]","{0: 1, 1: 1}",1,"{0: 59.94514440647873, 1: 58.790628528803055}"
357,13825,7871850.0,0.0017562580587790672,191.63978084332646,3,"[191.63978084332646, 701.4809855901287, 300.07700856952346]","[27.37711154904664, 43.842561599383046, 42.86814408136049]","{0: 1, 1: 1, 2: 1}",1,"{0: 140.5421134057545, 1: 137.75979801488606, 2: -40.57018691334013}"
312,13825,7871850.0,0.0017562580587790672,159.6423061602681,8,"[159.6423061602681, 488.04951684997053, 268.94255178147455, 339.2150067010885, 388.5010152862551, 430.47206394544804, 193.35097560696843, 145.25985389555098]","[26.60705102671135, 97.6099033699941, 44.823758630245756, 42.40187583763606, 55.500145040893585, 35.872671995454006, 38.67019512139369, 24.209975649258496]","{0: 1, 1: 2, 2: 1, 3: 2, 4: 1, 5: 1, 6: 1, 7: 1}",2,"{0: 557.4906416049093, 1: 30.368462757527734, 2: 61.11751923010192, 3: 51.311665834671025, 4: 230.36897076756784, 5: 96.3989902011428, 6: 34.94847999066333, 7: 462.1594631387848}"
143,13825,7871850.0,0.0017562580587790672,459.52669944525957,9,"[459.52669944525957, 670.9229835242277, 332.617821156677, 655.0607490612973, 231.58354576059247, 349.71571034215776, 395.369828081382, 351.1670645852534, 1461.5845038992993]","[91.90533988905192, 44.72819890161518, 55.43630352611283, 46.79005350437838, 38.59725762676541, 49.95938719173682, 79.07396561627641, 58.527844097542236, 38.46275010261314]","{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 2, 7: 1, 8: 3}",3,"{0: 297.250637082854, 1: 564.6692895694968, 2: 206.88363860045098, 3: 95.98417089885338, 4: 689.7657270196443, 5: 341.13221339655473, 6: 317.78438531388474, 7: 40.40207731891736, 8: 710.592080678045}"
501,1736,7871850.0,0.00022053265750744742,537.0904094652227,2,"[537.0904094652227, 702.8226774087976]","[76.72720135217467, 140.56453548175952]","{0: 2, 1: 1}",2,"{0: 169.10030018229602, 1: 223.2233392925782}"
598,13825,7871850.0,0.0017562580587790672,402.99930737643894,4,"[402.99930737643894, 281.0895105952246, 275.0085912370801, 526.7421766769593]","[36.636300670585356, 28.10895105952246, 30.556510137453344, 37.624441191211375]","{0: 2, 1: 1, 2: 1, 3: 1}",2,"{0: 443.09220846826645, 1: 418.411189034363, 2: 892.2140997435314, 3: 682.4879241024626}"
415,5393,7871850.0,0.0006850994366000368,596.6849204592725,2,"[596.6849204592725, 520.2036527780997]","[85.24070292275321, 86.70060879634995]","{0: 1, 1: 1}",1,"{0: 86.73115212845732, 1: 82.06272641820115}"
606,13825,7871850.0,0.0017562580587790672,296.8706430871342,3,"[296.8706430871342, 435.77956168665287, 113.37740163083382]","[59.37412861742685, 27.236222605415804, 22.675480326166763]","{0: 1, 1: 2, 2: 1}",2,"{0: 23.04688621183011, 1: 604.0946142791379, 2: 638.7992694777548}"
625,13825,7871850.0,0.0017562580587790672,343.8594362117865,6,"[343.8594362117865, 436.938839066947, 433.9831401885338, 301.0010152862551, 295.6943349521757, 356.7344028470046]","[42.98242952647331, 39.72171264244973, 39.45301274441216, 60.20020305725102, 42.24204785031082, 29.72786690391705]","{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",2,"{0: 557.7847075210474, 1: 186.96620738226147, 2: 70.01325908697365, 3: 35.330946106324575, 4: 638.2247229159923, 5: 550.9992137757542}"
